QuestionID,Answer,CP_Raw,CP_UN,CP_LN,MCP_output,MCP_Answer
Mercury_400877,C,B,B,B,B,B
Mercury_7174213,D,B,D,B,D,D. the distance between molecules in the medium
NYSEDREGENTS_2008_8_34,2,1,3,1,A,A
Mercury_7212398,B,C,C,C,B,B
Mercury_SC_401290,C,A,B,A,B,B. compass
Mercury_SC_402120,C,D,D,D,C,C
Mercury_184975,C,B,A,B,D,D
Mercury_SC_400578,A,A,B,D,A,A
MCAS_2001_8_4,D,A,A,A,D,D
MCAS_2003_5_33,C,B,D,D,D,D. weigh a glass before and after it is filled with water
Mercury_7068513,A,D,C,D,C,C
AKDE&ED_2008_4_26,C,A,D,A,A,A
Mercury_7235638,C,C,B,B,B,B
MDSA_2009_5_20,B,C,D,C,D,D
Mercury_178325,C,C,D,C,a,a graph
Mercury_7212678,A,A,D,B,A,A
TAKS_2009_8_32,A,D,B,D,C,C
Mercury_412681,C,D,D,D,B,B
Mercury_400440,D,D,D,D,C,C. NaOH + Cl
Mercury_SC_416529,B,D,C,D,B,B.
MCAS_2006_8_1,D,D,A,C,D,D
TIMSS_2003_8_pg80,C,B,B,B,B,B
Mercury_416645,D,A,D,A,C,C
Mercury_406777,A,D,A,D,A,A.
Mercury_LBS11018,A,B,B,B,B,B
Mercury_7139878,C,B,D,B,D,D
Mercury_417147,B,C,D,D,C,C
Mercury_7016765,A,A,B,A,B,B
Mercury_415303,A,B,D,B,A,A
Mercury_7215845,C,D,A,D,D,D.
Mercury_7136885,B,A,D,D,A,A
Mercury_SC_400059,D,B,D,D,D,D. become deeper and wider.
Mercury_7044328,D,B,D,C,D,D
MEA_2010_8_1,A,B,D,D,B,B
Mercury_414099,B,A,B,D,B,B
Mercury_410807,B,D,D,D,B,B
Mercury_403234,B,D,C,D,B,B
Mercury_7011323,A,C,D,D,B,B
Mercury_7109463,D,D,D,D,C,C
Mercury_SC_401277,C,B,B,A,B,B
MCAS_2005_5_25,C,C,C,C,B,B
Mercury_SC_401272,D,D,A,D,C,C
Mercury_7103600,D,B,B,B,B,B
MDSA_2009_8_2,A,A,A,A,B,B
Mercury_7127943,A,C,A,A,A,A
ACTAAP_2009_7_8,D,B,D,D,B,B
MCAS_2006_9_43,C,D,D,A,B,B
Mercury_7252088,C,D,D,D,C,C
Mercury_7084665,A,A,A,A,A,A.
FCAT_2008_5_2,D,A,A,A,A,A
Mercury_SC_414041,D,C,C,D,D,D. Both jars contain mixtures.
MCAS_2014_8_20,A,A,D,D,D,D
Mercury_SC_401116,B,B,B,C,B,B
Mercury_7064680,C,B,A,B,s,states of matter
Mercury_7211680,C,C,B,C,D,D.
Mercury_180373,B,C,A,A,C,C
Mercury_7216248,B,B,B,B,A,A
Mercury_SC_417677,B,B,D,B,C,C. The ball absorbs light and then releases it.
Mercury_7221655,C,C,C,C,C,C
MCAS_2006_9_12,D,D,C,D,C,C
MCAS_2004_9_2,A,C,C,D,B,B
Mercury_180005,B,D,D,D,B,B
Mercury_7071523,C,B,C,B,B,B
Mercury_7263375,B,A,A,A,A,A.
TIMSS_2011_8_pg102,D,D,A,D,D,D
Mercury_406550,B,D,B,C,D,D
Mercury_SC_400057,D,D,D,D,B,B
TAKS_2009_5_26,A,C,A,C,B,B
LEAP_2007_8_10417,A,A,D,C,D,D
Mercury_7027405,A,B,B,D,C,C
Mercury_7058415,A,C,C,C,B,B
Mercury_7215828,A,C,A,C,C,C
Mercury_7064575,B,B,B,B,A,A
Mercury_7097493,D,A,A,A,A,A
AKDE&ED_2008_8_47,B,A,D,B,D,D
Mercury_405136,C,C,C,C,A,A
Mercury_415086,D,D,D,D,B,B
Mercury_7228725,C,A,C,D,C,C
Mercury_7201740,A,D,A,A,B,B
NYSEDREGENTS_2010_4_4,A,A,A,C,A,A. slower
MEAP_2005_8_21,D,B,B,B,C,C.
Mercury_7026355,A,A,D,D,B,B
Mercury_7249708,B,A,D,A,B,B
Mercury_7107170,D,D,D,D,D,D
Mercury_183820,A,B,C,B,B,B
Mercury_SC_401357,B,B,B,B,C,C. precipitation
NYSEDREGENTS_2008_8_11,4,3,2,3,C,C
Mercury_416650,C,A,D,C,D,D
NCEOGA_2013_5_20,B,C,C,A,B,B
Mercury_400500,C,D,C,D,A,A
Mercury_SC_401366,D,A,C,B,C,C.
Mercury_7141610,B,B,A,B,B,B
Mercury_7247013,B,A,D,B,A,A
NYSEDREGENTS_2008_8_30,2,3,2,2,B,B
ACTAAP_2011_5_16,B,B,B,B,B,B
Mercury_7093153,B,D,B,D,B,B
Mercury_7013965,A,D,D,D,A,A
Mercury_7034843,B,B,A,A,A,A
Mercury_SC_407610,D,A,A,D,D,D
Mercury_405947,C,B,B,B,C,C.
AKDE&ED_2012_8_6,A,D,B,D,C,C
Mercury_7011130,A,D,D,D,A,A
Mercury_LBS11022,A,B,B,B,D,D
TIMSS_1995_8_J1,C,D,B,D,C,C
Mercury_SC_408366,B,C,C,C,B,B
Mercury_7009993,A,C,C,D,A,A.
Mercury_401699,C,A,A,A,C,C
Mercury_7056858,A,A,C,A,A,A
Mercury_7027160,C,D,D,D,D,D
Mercury_400811,D,A,A,A,E,E. electromagnetic
Mercury_SC_400062,D,A,D,A,C,C
Mercury_400699,B,C,C,C,B,B
Mercury_7029803,B,B,D,D,B,B
Mercury_SC_401372,D,C,A,C,C,C
Mercury_7271128,C,B,C,B,B,B
Mercury_407260,B,A,A,A,C,C
Mercury_SC_416155,C,C,C,A,B,B
Mercury_402145,B,A,C,C,C,C.
AIMS_2009_4_5,A,B,C,B,D,D
TIMSS_2003_4_pg7,D,C,D,C,C,C
Mercury_7142415,A,A,B,B,C,C
Mercury_7212818,B,A,C,A,A,A
Mercury_SC_413299,A,A,C,B,A,A
Mercury_7132020,A,B,C,B,B,B
MEA_2014_8_10,C,B,C,B,A,A
TIMSS_1995_8_N2,B,B,D,C,B,B
Mercury_7024465,A,A,A,A,D,D
Mercury_SC_415762,D,A,D,C,D,D
Mercury_415093,D,A,B,D,C,C
LEAP_2005_8_10404,D,B,C,B,D,D
AIMS_2008_8_6,B,B,D,D,B,B
Mercury_7057173,D,B,D,B,C,C
TIMSS_2007_8_pg60,C,C,D,D,B,B
AIMS_2009_8_14,A,A,D,B,B,B
Mercury_185010,A,C,B,C,B,B. saprophytism
Mercury_7206938,A,D,D,D,A,A
Mercury_402501,B,A,C,D,A,A. MgBr
MCAS_2011_8_15365,C,A,D,A,C,C.
Mercury_SC_401766,A,B,B,A,B,B
Mercury_7162400,D,D,D,D,D,D
Mercury_7086695,C,D,A,B,D,D
Mercury_SC_402994,C,D,D,D,C,C.
Mercury_7056298,A,D,A,D,A,A
Mercury_409115,C,B,A,B,C,C. Velocity remains positive but acceleration becomes negative.
Mercury_409647,D,B,C,B,C,C
Mercury_414352,A,C,B,D,B,B
Mercury_185325,C,C,C,B,C,C
Mercury_SC_412374,C,C,A,C,A,A
Mercury_SC_401818,C,A,A,A,B,B
Mercury_SC_413549,B,A,C,B,D,D
Mercury_7093958,A,A,D,A,A,A
Mercury_7102323,D,D,C,D,D,D
Mercury_7222793,B,D,B,B,B,B
Mercury_SC_400701,A,A,D,D,D,D
Mercury_409301,B,A,A,A,D,D
Mercury_SC_400383,C,C,C,C,C,C
CSZ_2005_5_CSZ10021,B,A,B,C,B,B
Mercury_SC_407070,B,C,B,B,A,A
Mercury_SC_400708,C,A,C,C,D,"D. air, water, and minerals combined."
Mercury_7075040,C,C,C,C,C,C. scientists may interpret data differently.
Mercury_7137165,A,B,A,B,A,A
Mercury_SC_400046,B,D,D,D,B,B
Mercury_7099330,D,D,B,D,D,D
MDSA_2007_5_2,C,A,A,D,C,C
Mercury_7271758,B,A,B,B,B,B.
MCAS_2003_8_31,C,A,C,A,A,A
AKDE&ED_2008_8_53,C,A,D,A,B,B
TIMSS_2007_8_pg109,C,D,D,A,D,D
Mercury_175385,C,A,B,A,C,C.
Mercury_410669,D,C,D,D,C,C
MEAP_2005_8_39,C,D,D,D,C,C
Mercury_SC_408568,B,A,A,D,D,D
AKDE&ED_2008_8_7,B,B,B,B,B,B
Mercury_7082845,B,B,B,B,B,B
Mercury_SC_405726,D,C,D,C,C,C
Mercury_SC_415407,A,A,A,B,A,A
Mercury_SC_401792,C,B,A,B,C,C
LEAP_2000_8_4,B,D,D,D,B,B
Mercury_SC_413439,A,A,A,D,B,B
ACTAAP_2014_7_13,B,B,D,B,A,A.
Mercury_SC_402638,A,C,A,C,C,C
Mercury_SC_406725,A,C,B,C,B,B
NYSEDREGENTS_2015_4_29,A,A,D,D,A,A
Mercury_406136,A,A,A,A,A,A
MSA_2012_5_23,C,A,C,C,C,C
Mercury_405873,B,C,B,B,B,B
Mercury_7043820,B,D,B,A,A,A
MCAS_2005_5_34,B,B,B,C,B,B
Mercury_7182245,D,B,C,C,D,D
MSA_2012_8_30,A,D,B,D,D,D
Mercury_7252753,A,A,B,A,A,A
TAKS_2009_8_36,B,A,C,A,C,C
Mercury_SC_415473,C,D,D,D,B,B
Mercury_SC_413624,B,D,B,B,B,B
Mercury_7016800,D,D,B,D,D,D. which materials are safe to use for cleaning.
Mercury_SC_407228,D,C,B,C,A,A.
Mercury_414504,B,D,D,C,D,D.
TIMSS_2011_4_pg27,A,D,D,D,A,A
Mercury_SC_402029,D,C,D,D,D,D.
Mercury_7131845,C,A,D,A,C,C
Mercury_SC_405533,B,A,C,C,B,B
Mercury_7086748,A,B,B,B,A,A
MDSA_2007_8_17,B,D,B,D,D,D
Mercury_7210473,C,D,C,D,C,C
Mercury_7214340,A,C,C,C,A,A
MCAS_2005_9_17,C,D,D,D,C,C
MEA_2016_8_12,B,C,B,C,D,D
Mercury_SC_401278,B,A,A,A,C,C
Mercury_SC_407689,D,B,B,B,C,C
Mercury_7230405,B,C,A,C,B,B
Mercury_SC_405640,A,B,B,B,D,D
Mercury_7201775,D,B,B,B,C,C
Mercury_7177398,D,B,B,B,B,B
Mercury_7041423,A,D,A,D,B,B
Mercury_7004743,D,A,A,A,D,D.
Mercury_7198468,A,C,A,C,D,D
MEA_2014_5_11,C,A,D,A,C,C.
Mercury_410602,A,D,D,A,B,B
Mercury_7108868,C,B,C,B,D,D. noncommercial farms
Mercury_7033828,D,C,B,C,D,D
TIMSS_2007_4_pg19,A,C,A,A,A,A
Mercury_400828,D,D,D,D,B,B
VASoL_2008_3_16,B,D,B,D,C,C
LEAP__5_10315,C,D,C,D,B,B
Mercury_SC_415471,A,B,A,B,A,A.
Mercury_7247065,C,A,C,A,C,C
MDSA_2011_5_3,B,A,A,A,A,A
MDSA_2009_5_39,C,D,C,D,D,D. grow flowers in the community garden
Mercury_187198,C,B,B,C,B,B
MCAS_2000_4_36,A,D,B,D,D,D. pipeline
Mercury_184100,C,C,C,C,D,D
Mercury_LBS10814,B,B,D,B,B,B
Mercury_SC_408384,B,A,A,A,D,D
Mercury_7043068,D,C,C,B,B,B
Mercury_411071,B,D,D,B,B,B
NYSEDREGENTS_2010_4_24,B,D,D,D,C,C
Mercury_SC_409673,D,A,B,A,D,D
Mercury_SC_400374,B,B,D,D,A,A.
CSZ_2009_8_CSZ20740,B,B,D,D,C,C. 100 s
Mercury_SC_406482,D,B,D,B,A,A
OHAT_2007_8_24,A,D,C,B,D,D
Mercury_188335,B,D,C,A,B,B
Mercury_7128555,B,D,C,D,D,D. The bees will start pollinating the white flowers.
Mercury_407517,C,B,D,B,C,C
Mercury_405950,C,D,D,D,C,C.
MCAS_2004_9_5,C,B,A,A,A,A.
NCEOGA_2013_8_28,B,B,A,D,B,B
Mercury_SC_406451,C,A,B,D,D,D.
Mercury_7109323,D,A,C,C,D,D
Mercury_404132,B,D,C,B,D,D
Mercury_7210210,C,B,C,B,C,C
Mercury_SC_408042,B,B,B,B,B,B
MCAS_2004_8_14,C,A,A,A,A,A
TIMSS_2011_4_pg5,B,A,C,A,A,A. deer
Mercury_SC_406833,C,B,D,B,B,B
Mercury_7029558,C,A,B,B,D,D.
Mercury_7138390,B,C,B,B,B,B
MEAP_2005_5_12,A,B,C,C,C,C
MCAS_2000_4_30,D,A,A,A,B,B
MCAS_1998_4_12,C,C,C,C,A,A
Mercury_175840,B,B,D,D,B,B. to give structural support
Mercury_7099190,C,A,C,A,A,A
Mercury_SC_401605,A,A,D,A,B,B
TAKS_2009_5_36,A,A,A,A,B,B
Mercury_7171570,D,A,D,A,B,B
Mercury_SC_402057,C,B,C,C,C,C.
Mercury_SC_413628,C,D,A,D,B,B
Mercury_LBS10131,C,C,A,C,C,C
Mercury_7032428,B,A,A,A,D,D
Mercury_7025008,A,B,D,B,B,B
MEA_2011_8_19,D,D,D,D,D,D. air
NYSEDREGENTS_2008_8_27,3,3,3,3,D,D. 30 N
VASoL_2007_5_22,B,C,C,C,B,B
NCEOGA_2013_5_19,A,C,B,D,B,B
Mercury_7037555,C,D,D,D,A,A
Mercury_402132,B,A,C,C,B,B
MCAS_2006_8_24,A,D,C,D,D,D
Mercury_7128923,B,D,D,D,D,D. water
Mercury_416379,A,C,B,C,C,C
Mercury_7168053,C,A,C,B,A,A
AKDE&ED_2008_8_1,A,B,B,A,B,B
Mercury_SC_415476,B,D,A,A,A,A
Mercury_7106960,A,A,A,A,B,B
Mercury_7160563,C,A,C,C,C,C
Mercury_7068583,B,D,C,D,B,B
Mercury_404638,D,C,A,A,D,D. volcanic
Mercury_SC_407138,A,D,A,A,B,B
MCAS_2000_4_10,D,C,A,C,D,D
Mercury_177748,D,B,B,B,A,A
MCAS_2004_9_21-v1,C,C,C,C,C,C
MDSA_2007_5_16,A,C,B,A,A,A
Mercury_401763,B,B,D,B,B,B
Mercury_7268118,C,A,B,C,C,C
Mercury_403232,D,B,B,B,B,B
Mercury_415081,A,C,C,C,B,B
Mercury_7206378,B,C,C,C,B,B
CSZ30169,A,D,D,D,C,C.
Mercury_7013948,D,C,B,B,B,B
Mercury_SC_402164,C,C,D,C,C,C. observation
Mercury_400880,C,C,B,C,B,B
Mercury_7040793,B,A,D,D,D,D
MDSA_2010_5_29,D,B,D,D,D,D
LEAP__8_10365,A,B,C,A,B,B
Mercury_SC_401295,B,A,B,A,B,B
MCAS_2012_5_23625,C,B,A,B,C,C
Mercury_7268048,C,C,D,D,D,D
Mercury_SC_402629,A,D,D,D,A,A.
NCEOGA_2013_8_42,D,A,B,A,B,B
Mercury_412463,D,C,C,C,B,B
Mercury_409295,B,C,B,A,B,B
Mercury_404609,D,A,C,A,D,D. piles of rocky debris
Mercury_7230090,C,C,D,A,B,B
Mercury_7057488,D,A,C,B,D,D
MDSA_2009_4_1,D,C,D,C,D,D
Mercury_7150728,A,A,D,A,C,C
Mercury_402207,B,B,B,B,B,B
Mercury_411732,D,A,D,D,D,D
Mercury_7270113,C,D,C,D,B,B
AKDE&ED_2008_8_3,B,C,C,C,C,C
MCAS_1999_8_1,A,B,A,B,A,A
NYSEDREGENTS_2015_4_24,C,B,B,A,C,C. wearing a hat while in the Sun
Mercury_7122640,A,C,B,C,A,A
Mercury_402547,C,C,C,C,O,O_{2}
Mercury_7133945,B,D,C,A,A,A
Mercury_7199028,B,A,A,A,A,A
Mercury_7217298,A,C,C,C,A,A
Mercury_7057680,C,C,A,C,C,C
Mercury_SC_400404,D,A,A,C,B,B
Mercury_SC_408030,A,C,C,C,B,B
Mercury_415083,B,B,B,D,C,C
Mercury_409114,B,B,D,D,B,B
Mercury_SC_415006,A,A,C,A,D,D
MSA_2012_5_15,C,C,C,B,C,C
Mercury_SC_402612,D,B,D,B,D,D
Mercury_SC_405937,B,B,B,B,B,B
Mercury_SC_416459,C,A,B,B,B,B
NAEP_2000_8_S21+4,C,A,D,C,C,C
Mercury_7072380,B,B,B,B,B,B
Mercury_SC_401373,A,C,B,C,A,A
Mercury_SC_400579,C,C,C,C,C,C
MCAS_2003_5_14,C,C,C,C,C,C.
MSA_2015_8_30,A,C,A,C,A,A
Mercury_SC_415416,C,D,D,D,D,D
NYSEDREGENTS_2012_8_42,2,2,2,3,B,B
NCEOGA_2013_5_9,B,A,A,A,B,B
MEAP_2005_8_45,D,A,D,D,D,"D. the frosted window glass, because it is translucent"
Mercury_SC_400594,D,B,D,B,D,D. repeat the same procedure.
NCEOGA_2013_8_43,A,B,A,A,C,C.
MCAS_2006_8_13,C,C,A,C,C,C
Mercury_7168823,D,B,C,B,C,C
Mercury_7158935,C,B,A,B,C,C
Mercury_7172708,B,A,D,A,A,A. It is replaced.
ACTAAP_2010_5_1,A,A,A,C,A,A
Mercury_7093048,C,B,B,D,C,C
Mercury_7081603,C,A,C,A,B,B
Mercury_SC_LBS11003,D,B,A,B,B,B
MCAS_2005_8_2,C,B,C,D,C,C
ACTAAP_2010_7_14,C,C,D,C,C,C.
NYSEDREGENTS_2008_4_15,C,A,B,A,C,C. solid
Mercury_7107240,A,A,A,D,A,A
Mercury_7218628,C,C,C,C,C,C.
MSA_2013_5_23,D,C,C,C,D,D. recycling paper to reduce the cutting of trees
Mercury_7081725,A,A,C,C,A,A
Mercury_SC_413542,A,D,A,B,A,A
Mercury_SC_407302,C,A,C,D,C,C
Mercury_175053,D,A,A,A,A,A. an observation.
Mercury_7161315,B,A,B,B,A,A
Mercury_189070,A,B,A,B,B,B
Mercury_7189123,B,D,D,D,B,B
Mercury_SC_402171,D,A,D,D,D,"D. date, plant height, and soil type."
Mercury_7217368,B,B,A,B,B,B
Mercury_LBS10933,A,A,A,A,C,C
Mercury_7223160,C,B,D,B,D,D.
Mercury_SC_401324,D,A,D,C,C,C. The hawks would eat more of the grass.
LEAP_2001_8_10379,A,D,D,D,C,C
VASoL_2009_5_30,D,A,D,A,B,B
Mercury_416404,D,A,C,C,C,C
Mercury_7103530,B,B,B,B,B,B
Mercury_7030870,A,D,D,D,D,D
LEAP__7_10348,C,A,C,A,t,the mean number of eggs laid in a year
Mercury_SC_406835,B,D,B,D,B,B
Mercury_178255,B,A,C,D,B,B
MDSA_2012_8_16,B,A,D,B,B,B
Mercury_409645,D,D,C,D,D,D
TIMSS_2003_8_pg47,C,B,C,B,B,B
NYSEDREGENTS_2010_8_16,2,3,1,3,B,B
Mercury_7159810,B,A,D,A,B,B
Mercury_7267523,B,D,A,D,D,D
Mercury_SC_401006,A,D,A,D,C,C
ACTAAP_2010_7_12,D,B,D,B,D,D
MEAP_2005_8_13,D,A,A,A,D,D. different organisms usually inhabit specific environments.
Mercury_7164623,C,A,C,A,B,B
Mercury_417127,A,A,B,A,B,B
Mercury_411224,B,B,D,C,B,B
TIMSS_2011_8_pg15,D,D,C,D,D,D
NYSEDREGENTS_2012_8_19,3,3,3,3,D,D
Mercury_7222460,A,C,C,C,A,A.
Mercury_7007420,C,B,C,B,C,C
Mercury_SC_405710,D,C,C,D,D,D
Mercury_SC_401375,C,D,D,D,C,C
VASoL_2010_3_22,A,A,A,A,B,B
Mercury_SC_408358,A,C,D,C,B,B
NYSEDREGENTS_2013_8_42,2,3,3,3,B,B
Mercury_SC_400661,D,B,B,D,D,D
Mercury_SC_415422,C,A,D,C,C,C
Mercury_SC_400162,D,C,D,D,C,C
Mercury_7212328,B,D,C,B,C,C
NCEOGA_2013_8_26,D,B,A,A,D,D
Mercury_SC_407696,B,C,B,C,D,D
Mercury_SC_400052,B,B,B,B,B,B
Mercury_7212870,D,C,C,C,p,pie chart
NYSEDREGENTS_2010_8_35,3,3,2,1,C,C.
MCAS_2010_8_12005,A,A,A,A,A,A
Mercury_7218505,B,B,D,B,B,B
Mercury_SC_400853,D,A,D,D,D,D
Mercury_7210455,C,B,A,C,C,C
Mercury_7174738,C,C,D,C,D,D
MCAS_2001_5_2,D,B,B,B,D,D. what the bird inherited from its parents
NYSEDREGENTS_2012_4_9,A,C,C,C,D,D
Mercury_416593,B,C,A,D,c,c
Mercury_7205870,B,A,A,C,B,B
Mercury_SC_401798,C,C,D,C,C,C
Mercury_7084228,D,B,D,B,D,D
Mercury_417460,A,B,B,B,B,B
Mercury_402539,B,C,C,C,C,C
Mercury_406800,B,B,B,B,A,A
Mercury_SC_408321,A,A,B,A,A,A
Mercury_SC_406836,C,A,B,A,B,B
Mercury_SC_410963,D,B,A,D,A,A
Mercury_7132405,D,A,D,C,D,D
Mercury_SC_408872,C,C,D,C,D,D
VASoL_2008_3_25,B,D,B,D,B,B
WASL_2005_8_12,A,A,A,A,D,D. put whiteflies on other garden plants and see what happens.
AKDE&ED_2012_8_20,B,C,D,C,C,C.
Mercury_7056823,B,D,B,B,A,A
Mercury_7205800,B,D,A,D,B,B
Mercury_SC_402282,A,B,C,D,A,A
MCAS_1998_8_26,C,A,C,D,C,C.
Mercury_7230318,D,B,B,D,p,photosynthesis
Mercury_SC_416167,C,D,A,D,B,B
Mercury_7027720,B,C,C,D,B,B
LEAP__5_10312,B,A,D,A,A,A.
Mercury_405161,D,D,D,C,D,D. contains air pockets.
Mercury_SC_409245,D,A,D,D,D,D
ACTAAP_2011_5_8,C,B,B,D,D,D
Mercury_7223370,D,A,A,A,d,d
Mercury_SC_400697,B,A,D,B,B,B
Mercury_SC_401262,D,D,D,D,C,C
Mercury_7136063,B,A,A,A,B,B
Mercury_405876,D,C,C,C,D,D
Mercury_7057890,A,D,C,D,A,A
LEAP_2002_4_10247,B,A,B,A,D,D
Mercury_SC_405481,C,B,B,B,C,C. Both support the plant.
Mercury_SC_400401,B,D,B,D,B,B
Mercury_7064260,B,C,C,C,D,D.
Mercury_7015995,B,B,C,C,B,B
Mercury_400887,B,D,C,C,C,C
Mercury_7247678,A,D,A,D,C,C
MDSA_2007_8_24,C,A,B,A,B,B
AKDE&ED_2008_8_48,A,B,B,A,C,C. developing a theory based on the data
Mercury_401014,C,C,C,C,A,A
Mercury_7106698,A,D,C,D,C,C.
Mercury_7143308,B,A,A,A,A,A
MCAS_2005_9_21,B,A,A,A,C,C
Mercury_400443,B,B,C,B,C,C
Mercury_7283430,B,B,C,C,B,B
Mercury_7159250,C,A,C,D,p,pathogenic fungi
Mercury_401912,A,D,A,D,C,C
Mercury_7219328,B,A,B,A,B,B
Mercury_7214498,C,A,B,A,B,B
TAKS_2009_5_14,A,A,C,A,C,C
NYSEDREGENTS_2013_4_17,D,A,D,D,D,D. a worm
Mercury_403907,C,C,B,C,D,D
Mercury_7081480,A,D,A,D,C,C
Mercury_416505,B,B,A,C,B,B
Mercury_7041668,D,A,D,A,D,D
Mercury_SC_401309,C,B,D,D,B,B
NYSEDREGENTS_2010_4_1,B,B,C,B,B,B
ACTAAP_2007_7_36,C,D,A,D,C,C
VASoL_2009_3_12,D,B,D,B,D,D
Mercury_7085295,C,C,D,C,C,C. sand.
Mercury_7201968,A,B,D,B,C,C
Mercury_7214008,C,B,B,D,C,C
Mercury_176855,B,B,B,C,B,B
Mercury_SC_401678,B,A,C,C,D,D
Mercury_417143,D,B,B,B,A,A
NYSEDREGENTS_2013_4_21,D,D,A,D,B,B
Mercury_7032620,B,C,C,C,B,B.
NYSEDREGENTS_2008_8_9,4,2,2,2,D,D
TAKS_2009_8_27,C,C,C,B,C,C
NCEOGA_2013_8_57,C,C,C,C,C,C
Mercury_SC_413143,C,D,B,D,b,b
Mercury_401195,D,B,B,B,C,C
CSZ10358,A,A,A,C,p,pollination
MCAS_1999_4_26,C,B,C,B,A,A
AKDE&ED_2008_8_36,A,A,A,A,B,B
Mercury_7017938,B,A,D,A,B,B. greater momentum
MDSA_2013_8_32,D,B,D,C,B,B.
Mercury_7038028,C,B,C,B,D,D
Mercury_7057103,C,C,C,C,E,Earlobe Type and Biology
NYSEDREGENTS_2008_4_26,C,C,C,C,C,C.
Mercury_417117,C,C,C,C,C,C. ethical
MCAS_2016_8_15,C,A,B,C,B,B
Mercury_400780,C,A,D,D,B,B
NYSEDREGENTS_2008_8_32,1,4,1,4,A,A.
Mercury_SC_416104,C,D,D,D,A,A.
Mercury_416646,B,B,D,D,B,B
Mercury_SC_405296,C,C,C,C,B,B
MCAS_2006_8_31,D,A,A,A,A,A
MCAS_2015_5_14,A,D,A,D,D,D
Mercury_417465,C,A,D,D,D,D
MCAS_1998_4_19,D,D,D,D,A,A
Mercury_7214778,D,B,D,B,D,D
Mercury_7123393,D,A,C,A,D,D.
Mercury_7207550,D,A,C,A,D,D
Mercury_SC_405827,B,D,A,B,A,A
NYSEDREGENTS_2015_4_11,D,D,A,D,A,A
Mercury_404097,C,D,C,D,D,D
AIMS_2009_4_4,C,C,C,D,C,C.
NCEOGA_2013_8_18,A,B,D,D,A,A
Mercury_400884,B,C,C,D,B,B
Mercury_7219678,A,B,A,B,B,B. had access to advanced technology.
ACTAAP_2010_5_7,B,A,B,A,C,C
ACTAAP_2012_7_9,C,A,C,A,C,C
MCAS_2005_8_6,A,A,D,A,A,A
Mercury_SC_401162,C,D,D,D,C,C.
Mercury_SC_407710,D,D,C,D,a,a trial
VASoL_2009_3_23,D,D,B,D,D,D
Mercury_SC_402276,D,B,D,D,B,B
Mercury_400744,A,A,D,A,A,A
Mercury_SC_LBS10902,B,A,A,D,D,D
Mercury_7133245,B,D,D,D,A,A
Mercury_7131530,B,B,D,A,B,B
Mercury_7041143,C,C,C,C,C,C
MCAS_2010_5_11984,A,B,D,C,B,B
Mercury_7159285,C,D,A,D,C,C
AIMS_2008_8_13,D,B,B,D,B,B
MDSA_2013_8_20,C,A,B,A,C,C
Mercury_7114100,A,D,D,D,B,B
Mercury_7213343,A,A,A,B,D,D
Mercury_SC_LBS10597,A,B,C,B,B,B
Mercury_7126263,B,D,D,D,B,B
Mercury_7133613,A,B,A,C,C,C
Mercury_7234605,D,B,B,B,C,C
Mercury_SC_400839,B,A,A,A,B,B
Mercury_SC_402984,B,A,A,C,B,B
NYSEDREGENTS_2012_4_29,C,B,C,B,C,C
VASoL_2009_3_22,D,B,B,B,D,D
Mercury_409349,A,A,A,A,C,C
